,text,favourite_count,retweet_count,created_at
0,"Nox Flowing Sword (Trick Weapon) Weapon Location

https://t.co/OKWyCBKOHK

#EldenRing #エルデンリング #Elden #Ring… https://t.co/nRPRUHzqFh",3,1,2022-03-17 00:32:09
1,Chev_PlayZ from the FOOTGANG is now live on #twitch with #Elden Ring! https://t.co/0mSjV3j95j @SHREDDER_NCB… https://t.co/2mghOOMl2m,0,0,2022-03-17 00:15:14
2,"#Elden #These #Entertainment
These Elden Ring group passwords can provide you a straightforward Rune buff 
https://t.co/jsfweAtz0L",0,0,2022-03-17 00:05:25
3,"Finally BAAAACK....-  and

 I’ve got some orange milk ;)

#twitch #live #gaming #litty #back #eldenring #elden #215… https://t.co/KsD0ZTeOtu",1,0,2022-03-17 00:04:09
4,"RT @Axiom_G: Nightrider Glaive Weapon Location

https://t.co/gppTvTQcHT

#EldenRing #エルデンリング #Elden #Ring #PlayStation5 #PS5 #PlayStation #…",0,0,2022-03-17 00:02:55
5,"RT @Axiom_G: Ash of War: Giant Hunt Location

https://t.co/lszZUdJp0u

#EldenRing #エルデンリング #Elden #Ring #PlayStation5 #PS5 #PlayStation #St…",0,0,2022-03-17 00:02:53
6,"RT @Axiom_G: Ash of War: Blood Blade Location

https://t.co/nzkIgQbrZk

#EldenRing #エルデンリング #Elden #Ring #PlayStation5 #PS5 #PlayStation #S…",0,0,2022-03-17 00:02:51
7,"RT @Axiom_G: Twinsage Sorcerer Ashes Summon Location

https://t.co/OkRdmiNB9i

#EldenRing #エルデンリング #Elden #Ring #PlayStation5 #PS5 #PlaySta…",0,0,2022-03-17 00:02:50
8,"RT @Axiom_G: Comet Spell Location

https://t.co/RNdpMBY4IN

#EldenRing #エルデンリング #Elden #Ring #PlayStation5 #PS5 #PlayStation #Steam #Xbox #…",0,0,2022-03-17 00:02:48
9,"RT @Axiom_G: Graven-School Talisman Location

https://t.co/nrvvx6cS8X

#EldenRing #エルデンリング #Elden #Ring #PlayStation5 #PS5 #PlayStation #St…",0,0,2022-03-17 00:02:46
